Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,40.0,89.5,228.0,0.1
1,40.0,113.0,367.0,0.1
2,40.0,121.1,365.0,0.1
3,40.0,123.2,352.0,0.1
4,40.0,123.2,365.0,0.2
5,40.0,85.8,229.0,0.3
6,40.0,110.9,317.0,0.3
7,40.0,117.5,334.0,0.3
8,40.0,119.7,387.0,0.3
9,40.0,119.5,381.0,0.3
10,40.0,84.3,217.0,0.4
11,40.0,107.1,426.0,0.4
12,40.0,116.0,362.0,0.5
13,40.0,118.7,332.0,0.5
14,40.0,118.0,356.0,0.5
15,40.0,82.8,238.0,0.6
16,40.0,107.6,371.0,0.6
17,40.0,115.1,341.0,0.6
18,40.0,118.0,466.0,0.6
19,40.0,117.5,364.0,0.6
20,40.0,82.8,246.0,0.8
21,40.0,107.2,314.0,0.8
22,40.0,113.7,379.0,0.8
23,40.0,115.1,342.0,0.8
24,40.0,117.8,355.0,0.8
25,40.0,82.1,220.0,0.9
26,40.0,107.9,359.0,0.9
27,40.0,115.3,369.0,0.9
28,40.0,117.0,374.0,0.9
29,40.0,117.3,403.0,0.9
30,40.0,82.2,206.0,1.1
31,40.0,103.5,344.0,1.1
32,40.0,112.8,411.0,1.1
33,40.0,116.9,373.0,1.1
34,40.0,118.3,368.0,1.1
35,40.0,82.5,259.0,1.2
36,40.0,106.8,323.0,1.2
37,40.0,111.9,431.0,1.2
38,40.0,115.4,345.0,1.3
39,40.0,115.3,345.0,1.3
40,40.0,81.3,203.0,1.4
41,40.0,105.9,354.0,1.4
42,40.0,114.0,358.0,1.4
43,40.0,116.4,359.0,1.4
44,40.0,115.8,359.0,1.4
45,40.0,81.6,244.0,1.5
46,40.0,106.3,348.0,1.5
47,40.0,115.0,335.0,1.6
48,40.0,117.2,387.0,1.6
49,40.0,116.6,355.0,1.6
50,40.0,81.6,253.0,1.7
51,40.0,105.0,362.0,1.7
52,40.0,113.3,336.0,1.7
53,40.0,115.0,344.0,1.7
54,40.0,117.6,351.0,1.7
55,40.0,81.2,209.0,1.9
56,40.0,106.8,331.0,1.9
57,40.0,115.1,359.0,1.9
58,40.0,116.6,394.0,1.9
59,40.0,117.2,394.0,1.9
60,40.0,81.9,213.0,2.0
61,40.0,106.6,359.0,2.0
62,40.0,111.7,405.0,2.0
63,40.0,114.5,376.0,2.0
64,40.0,115.3,328.0,2.0
65,40.0,82.2,218.0,2.2
66,40.0,107.8,342.0,2.2
67,40.0,113.6,308.0,2.2
68,40.0,114.3,298.0,2.2
69,40.0,115.2,310.0,2.2
70,40.0,82.3,262.0,2.3
71,40.0,107.1,347.0,2.3
72,40.0,114.7,365.0,2.3
73,40.0,115.5,393.0,2.3
74,40.0,115.6,336.0,2.3
75,40.0,80.7,224.0,2.5
76,40.0,105.7,432.0,2.5
77,40.0,112.8,390.0,2.5
78,40.0,115.8,329.0,2.5
79,40.0,116.0,379.0,2.5
80,40.0,81.8,282.0,2.6
81,40.0,106.2,351.0,2.6
82,40.0,113.9,325.0,2.6
83,40.0,116.7,340.0,2.6
84,40.0,115.3,380.0,2.7
85,40.0,81.7,211.0,2.8
86,40.0,107.5,423.0,2.8
87,40.0,115.9,388.0,2.8
88,40.0,115.2,318.0,2.8
89,40.0,116.4,375.0,2.8
90,40.0,82.7,238.0,2.9
91,40.0,107.1,372.0,2.9
92,40.0,114.5,444.0,2.9
93,40.0,114.7,486.0,3.0
94,40.0,116.4,344.0,3.0
95,40.0,82.4,247.0,3.1
96,40.0,106.7,398.0,3.1
97,40.0,113.1,413.0,3.1
98,40.0,114.3,438.0,3.1
99,40.0,114.8,396.0,3.1
100,40.0,81.9,190.0,3.2
101,40.0,105.0,363.0,3.2
102,40.0,112.3,353.0,3.3
103,40.0,113.9,352.0,3.3
104,40.0,114.2,370.0,3.3
105,40.0,81.4,218.0,3.4
106,40.0,106.8,321.0,3.4
107,40.0,114.9,367.0,3.4
108,40.0,115.5,370.0,3.4
109,40.0,117.2,366.0,3.4
110,40.0,80.6,255.0,3.5
111,40.0,105.3,374.0,3.6
112,40.0,112.9,369.0,3.6
113,40.0,115.4,338.0,3.6
114,40.0,117.2,340.0,3.6
115,40.0,82.1,240.0,3.7
116,40.0,108.1,355.0,3.7
117,40.0,113.7,369.0,3.7
118,40.0,113.7,413.0,3.7
119,40.0,114.7,346.0,3.7
120,40.0,79.5,247.0,3.9
121,40.0,103.2,394.0,3.9
122,40.0,113.8,345.0,3.9
123,40.0,115.9,382.0,3.9
124,40.0,116.2,359.0,3.9
125,40.0,82.9,211.0,4.0
126,40.0,107.2,324.0,4.0
127,40.0,112.8,318.0,4.0
128,40.0,114.2,359.0,4.0
129,40.0,115.0,378.0,4.0
130,40.0,82.0,231.0,4.2
131,40.0,104.5,362.0,4.2
132,40.0,111.4,336.0,4.2
133,40.0,113.6,341.0,4.2
134,40.0,115.4,341.0,4.2
135,40.0,81.6,226.0,4.3
136,40.0,105.4,363.0,4.3
137,40.0,113.3,402.0,4.3
138,40.0,115.1,402.0,4.3
139,40.0,115.5,375.0,4.4
140,40.0,80.7,239.0,4.5
141,40.0,104.3,385.0,4.5
142,40.0,112.9,354.0,4.5
143,40.0,116.1,355.0,4.5
144,40.0,116.7,354.0,4.5
145,40.0,81.2,224.0,4.6
146,40.0,105.7,343.0,4.6
147,40.0,113.0,385.0,4.6
148,40.0,115.3,512.0,4.7
149,40.0,115.6,322.0,4.7
150,40.0,80.6,204.0,4.8
151,40.0,105.9,376.0,4.8
152,40.0,111.0,370.0,4.8
153,40.0,114.7,387.0,4.8
154,40.0,114.8,397.0,4.8
155,40.0,80.6,208.0,4.9
156,40.0,104.9,310.0,5.0
157,40.0,112.7,372.0,5.0
158,40.0,115.6,345.0,5.0
159,40.0,116.1,391.0,5.0
160,40.0,80.5,239.0,5.1
161,40.0,106.6,344.0,5.1
162,40.0,112.9,344.0,5.1
163,40.0,115.0,342.0,5.1
164,40.0,115.7,364.0,5.1
165,40.0,81.9,299.0,5.3
166,40.0,105.2,337.0,5.3
167,40.0,111.0,343.0,5.3
168,40.0,116.1,343.0,5.3
169,40.0,118.4,348.0,5.3
170,40.0,82.8,251.0,5.4
171,40.0,107.3,361.0,5.4
172,40.0,113.2,356.0,5.4
173,40.0,114.4,358.0,5.4
174,40.0,115.9,333.0,5.4
175,40.0,82.5,253.0,5.6
176,40.0,106.9,376.0,5.6
177,40.0,114.5,408.0,5.6
178,40.0,115.4,353.0,5.6
179,40.0,114.7,303.0,5.6
180,40.0,81.4,211.0,5.7
181,40.0,104.8,353.0,5.7
182,40.0,112.9,373.0,5.7
183,40.0,115.6,375.0,5.7
184,40.0,115.9,352.0,5.8
185,40.0,80.6,220.0,5.9
186,40.0,105.9,387.0,5.9
187,40.0,113.3,370.0,5.9
188,40.0,115.3,370.0,5.9
189,40.0,115.7,355.0,5.9
190,40.0,81.9,211.0,6.0
191,40.0,106.7,439.0,6.1
192,40.0,112.5,443.0,6.1
193,40.0,113.8,375.0,6.1
194,40.0,115.5,361.0,6.1
195,40.0,81.8,217.0,6.2
196,40.0,104.7,331.0,6.2
197,40.0,111.9,351.0,6.2
198,40.0,114.9,420.0,6.2
199,40.0,115.8,377.0,6.2
200,40.0,82.4,232.0,6.4
201,40.0,105.6,366.0,6.4
202,40.0,112.4,366.0,6.4
203,40.0,113.1,338.0,6.4
204,40.0,115.0,392.0,6.4
205,40.0,80.2,248.0,6.5
206,40.0,104.8,375.0,6.5
207,40.0,111.9,345.0,6.5
208,40.0,113.7,431.0,6.5
209,40.0,113.3,403.0,6.5
210,40.0,80.9,251.0,6.7
211,40.0,106.1,393.0,6.7
212,40.0,112.3,392.0,6.7
213,40.0,115.3,331.0,6.7
214,40.0,116.2,331.0,6.7
215,40.0,80.6,235.0,6.8
216,40.0,103.9,316.0,6.8
217,40.0,113.2,368.0,6.8
218,40.0,114.2,359.0,6.8
219,40.0,115.6,329.0,6.9
220,40.0,80.3,241.0,7.0
221,40.0,102.1,383.0,7.0
222,40.0,110.0,383.0,7.0
223,40.0,113.2,387.0,7.0
224,40.0,111.5,389.0,7.0
225,40.0,80.0,226.0,7.1
226,40.0,104.4,384.0,7.2
227,40.0,111.8,384.0,7.2
228,40.0,114.6,381.0,7.2
229,40.0,116.0,377.0,7.2
230,40.0,80.3,221.0,7.3
231,40.0,105.7,334.0,7.3
232,40.0,112.8,359.0,7.3
233,40.0,116.4,388.0,7.3
234,40.0,115.6,351.0,7.3
235,40.0,81.0,211.0,7.5
236,40.0,104.4,331.0,7.5
237,40.0,110.6,359.0,7.5
238,40.0,114.3,317.0,7.5
239,40.0,112.7,365.0,7.5
240,40.0,80.1,214.0,7.6
241,40.0,104.1,356.0,7.6
242,40.0,112.4,327.0,7.6
243,40.0,116.3,406.0,7.6
244,40.0,115.6,408.0,7.7
245,40.0,81.0,220.0,7.8
246,40.0,106.8,374.0,7.8
247,40.0,112.0,342.0,7.8
248,40.0,115.3,366.0,7.8
249,40.0,116.5,327.0,7.8
250,40.0,81.5,214.0,7.9
251,40.0,105.7,379.0,8.0
252,40.0,112.4,404.0,8.0
253,40.0,116.4,419.0,8.0
254,40.0,116.0,418.0,8.0
255,40.0,81.0,283.0,8.1
256,40.0,106.6,373.0,8.1
257,40.0,112.6,334.0,8.1
258,40.0,114.9,379.0,8.1
259,40.0,113.0,368.0,8.1
260,40.0,80.7,223.0,8.3
261,40.0,106.1,347.0,8.3
262,40.0,113.0,369.0,8.3
263,40.0,114.2,367.0,8.3
264,40.0,115.0,403.0,8.3
265,40.0,81.6,251.0,8.4
266,40.0,104.5,326.0,8.4
267,40.0,114.1,376.0,8.4
268,40.0,115.3,365.0,8.4
269,40.0,117.1,390.0,8.4
270,40.0,82.3,234.0,8.6
271,40.0,105.9,336.0,8.6
272,40.0,112.1,382.0,8.6
273,40.0,115.8,331.0,8.6
274,40.0,115.9,396.0,8.6
275,40.0,80.5,252.0,8.7
276,40.0,105.8,360.0,8.7
277,40.0,113.6,360.0,8.7
278,40.0,115.2,340.0,8.8
279,40.0,115.0,368.0,8.8
280,40.0,80.2,223.0,8.9
281,40.0,104.1,385.0,8.9
282,40.0,111.7,322.0,8.9
283,40.0,113.7,322.0,8.9
284,40.0,116.2,414.0,8.9
285,40.0,80.5,251.0,9.0
286,40.0,105.4,438.0,9.0
287,40.0,111.6,410.0,9.1
288,40.0,112.2,366.0,9.1
289,40.0,114.7,350.0,9.1
290,40.0,80.8,215.0,9.2
291,40.0,105.8,333.0,9.2
292,40.0,111.8,365.0,9.2
293,40.0,115.0,318.0,9.2
294,40.0,116.0,378.0,9.2
295,40.0,81.3,234.0,9.3
296,40.0,107.2,352.0,9.4
297,40.0,113.1,327.0,9.4
298,40.0,116.3,366.0,9.4
299,40.0,115.3,363.0,9.4
300,40.0,80.2,209.0,9.5
301,40.0,105.6,472.0,9.5
302,40.0,112.9,460.0,9.5
303,40.0,114.6,339.0,9.5
304,40.0,117.0,397.0,9.5
305,40.0,80.8,274.0,9.7
306,40.0,106.0,387.0,9.7
307,40.0,112.9,374.0,9.7
308,40.0,114.9,428.0,9.7
309,40.0,115.0,358.0,9.7
310,40.0,81.5,236.0,9.8
311,40.0,105.3,349.0,9.8
312,40.0,111.4,315.0,9.8
313,40.0,115.0,404.0,9.8
314,40.0,114.4,393.0,9.8
315,40.0,80.4,212.0,10.0
316,40.0,106.2,404.0,10.0
317,40.0,113.3,426.0,10.0
318,40.0,115.2,349.0,10.0
319,40.0,115.1,365.0,10.0
320,40.0,81.4,213.0,10.1
321,40.0,105.5,429.0,10.1
322,40.0,111.5,306.0,10.1
323,40.0,114.8,360.0,10.1
324,40.0,115.6,448.0,10.2
325,40.0,79.7,225.0,10.3
326,40.0,106.9,450.0,10.3
327,40.0,114.6,356.0,10.3
328,40.0,114.5,386.0,10.3
329,40.0,116.8,341.0,10.3
330,40.0,80.9,253.0,10.4
331,40.0,105.4,317.0,10.4
332,40.0,113.0,355.0,10.5
333,40.0,113.1,367.0,10.5
334,40.0,118.0,367.0,10.5
335,40.0,81.0,235.0,10.6
336,40.0,106.2,367.0,10.6
337,40.0,113.3,332.0,10.6
338,40.0,115.1,422.0,10.6
339,40.0,114.2,393.0,10.6
340,40.0,80.4,218.0,10.7
341,40.0,103.9,302.0,10.8
342,40.0,110.1,354.0,10.8
343,40.0,113.0,344.0,10.8
344,40.0,113.7,386.0,10.8
345,40.0,81.5,198.0,10.9
346,40.0,104.4,334.0,10.9
347,40.0,111.1,359.0,10.9
348,40.0,112.4,408.0,10.9
349,40.0,114.9,386.0,10.9
350,40.0,81.1,204.0,11.1
351,40.0,106.7,345.0,11.1
352,40.0,113.2,390.0,11.1
353,40.0,114.4,321.0,11.1
354,40.0,113.3,320.0,11.1
355,40.0,81.4,244.0,11.2
356,40.0,104.9,358.0,11.2
357,40.0,114.3,393.0,11.2
358,40.0,114.7,341.0,11.2
359,40.0,114.2,340.0,11.3
360,40.0,80.1,205.0,11.4
361,40.0,105.8,492.0,11.4
362,40.0,112.1,334.0,11.4
363,40.0,113.5,340.0,11.4
364,40.0,113.5,338.0,11.4
365,40.0,80.9,215.0,11.5
366,40.0,103.1,352.0,11.6
367,40.0,112.7,351.0,11.6
368,40.0,114.9,388.0,11.6
369,40.0,115.4,371.0,11.6
370,40.0,80.7,223.0,11.7
371,40.0,106.4,379.0,11.7
372,40.0,113.1,379.0,11.7
373,40.0,114.8,367.0,11.7
374,40.0,116.1,369.0,11.7
375,40.0,80.8,218.0,11.9
376,40.0,106.3,362.0,11.9
377,40.0,113.0,403.0,11.9
378,40.0,115.6,407.0,11.9
379,40.0,115.4,407.0,11.9
380,40.0,81.1,216.0,12.0
381,40.0,105.8,380.0,12.0
382,40.0,111.4,357.0,12.1
383,40.0,114.1,359.0,12.1
384,40.0,115.3,359.0,12.1
385,40.0,81.6,241.0,12.2
386,40.0,106.5,309.0,12.2
387,40.0,112.2,338.0,12.2
388,40.0,115.4,345.0,12.2
389,40.0,116.7,370.0,12.2
390,40.0,82.0,227.0,12.4
391,40.0,106.2,381.0,12.4
392,40.0,114.0,410.0,12.4
393,40.0,115.0,313.0,12.4
394,40.0,114.9,389.0,12.4
395,40.0,81.3,235.0,12.5
396,40.0,105.7,323.0,12.5
397,40.0,112.2,336.0,12.5
398,40.0,113.4,423.0,12.5
399,40.0,114.8,339.0,12.5
400,40.0,81.1,246.0,12.7
401,40.0,103.9,288.0,12.7
402,40.0,110.7,322.0,12.7
403,40.0,114.7,339.0,12.7
404,40.0,115.0,361.0,12.7
405,40.0,80.2,215.0,12.8
406,40.0,105.4,311.0,12.8
407,40.0,112.3,377.0,12.8
408,40.0,113.3,302.0,12.8
409,40.0,115.5,362.0,12.9
410,40.0,80.8,252.0,13.0
411,40.0,104.8,356.0,13.0
412,40.0,111.5,366.0,13.0
