Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,0.0,6.5,47.0,0.2
1,0.0,13.0,115.0,0.2
2,0.0,14.9,105.0,0.2
3,0.0,15.5,122.0,0.2
4,0.0,15.4,106.0,0.2
5,0.0,5.6,39.0,0.4
6,0.0,12.6,103.0,0.4
7,0.0,14.0,94.0,0.4
8,0.0,14.8,90.0,0.4
9,0.0,15.4,95.0,0.4
10,0.0,5.0,33.0,0.6
11,0.0,12.1,123.0,0.6
12,0.0,14.6,151.0,0.6
13,0.0,14.9,98.0,0.6
14,0.0,15.1,108.0,0.6
15,0.0,5.1,47.0,0.8
16,0.0,12.5,97.0,0.8
17,0.0,13.7,95.0,0.8
18,0.0,15.0,111.0,0.8
19,0.0,15.2,92.0,0.8
20,0.0,5.0,42.0,1.0
21,0.0,12.6,119.0,1.0
22,0.0,14.4,108.0,1.0
23,0.0,14.7,143.0,1.0
24,0.0,14.9,93.0,1.0
25,0.0,4.8,54.0,1.2
26,0.0,12.2,84.0,1.2
27,0.0,14.3,100.0,1.2
28,0.0,15.5,112.0,1.3
29,0.0,15.0,100.0,1.3
30,0.0,5.1,88.0,1.4
31,0.0,12.4,95.0,1.4
32,0.0,14.1,94.0,1.5
33,0.0,14.5,88.0,1.5
34,0.0,14.8,99.0,1.5
35,0.0,5.1,42.0,1.6
36,0.0,12.2,123.0,1.7
37,0.0,14.3,123.0,1.7
38,0.0,15.0,123.0,1.7
39,0.0,15.3,119.0,1.7
40,0.0,5.2,54.0,1.8
41,0.0,12.4,92.0,1.9
42,0.0,14.1,90.0,1.9
43,0.0,14.8,108.0,1.9
44,0.0,14.7,92.0,1.9
45,0.0,5.0,45.0,2.0
46,0.0,12.4,92.0,2.1
47,0.0,14.0,92.0,2.1
48,0.0,14.7,91.0,2.1
49,0.0,14.7,75.0,2.1
50,0.0,5.2,36.0,2.3
51,0.0,12.8,76.0,2.3
52,0.0,14.0,124.0,2.3
53,0.0,14.2,100.0,2.3
54,0.0,14.9,113.0,2.3
55,0.0,5.1,40.0,2.5
56,0.0,12.2,77.0,2.5
57,0.0,13.8,113.0,2.5
58,0.0,14.5,107.0,2.5
59,0.0,15.3,107.0,2.5
60,0.0,4.8,35.0,2.7
61,0.0,12.2,92.0,2.7
62,0.0,14.6,92.0,2.7
63,0.0,15.2,89.0,2.7
64,0.0,15.1,87.0,2.7
65,0.0,4.9,37.0,2.9
66,0.0,12.3,84.0,2.9
67,0.0,14.3,103.0,2.9
68,0.0,15.0,103.0,2.9
69,0.0,15.3,122.0,2.9
70,0.0,5.3,37.0,3.1
71,0.0,12.3,89.0,3.1
72,0.0,14.2,96.0,3.1
73,0.0,14.8,92.0,3.1
