Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1924.0,2510.1,3201.0,0.3
1,1924.0,2633.4,3725.0,0.3
2,1924.0,2647.4,3862.0,0.4
3,1924.0,2641.5,3653.0,0.4
4,1924.0,2647.9,3983.0,0.4
5,1903.0,2423.1,3202.0,0.7
6,1903.0,2535.2,3615.0,0.7
7,1903.0,2571.7,3779.0,0.7
8,1879.0,2581.7,3938.0,0.8
9,1879.0,2583.4,3803.0,0.8
10,1838.0,2377.8,3187.0,1.1
11,1809.0,2508.8,3659.0,1.1
12,1809.0,2533.7,3674.0,1.1
13,1809.0,2547.0,3702.0,1.2
14,1809.0,2550.3,3730.0,1.2
15,1809.0,2353.7,3163.0,1.5
16,1809.0,2489.9,3441.0,1.5
17,1809.0,2518.7,3656.0,1.5
18,1809.0,2530.9,3588.0,1.5
19,1809.0,2537.6,3697.0,1.5
20,1773.0,2332.6,3104.0,1.9
21,1773.0,2467.6,3424.0,1.9
22,1773.0,2502.5,3598.0,1.9
23,1773.0,2508.3,3616.0,1.9
24,1773.0,2518.7,3583.0,1.9
25,1773.0,2322.4,3136.0,2.3
26,1773.0,2450.7,3386.0,2.3
27,1773.0,2486.6,3522.0,2.3
28,1773.0,2498.9,3709.0,2.3
29,1773.0,2513.8,3560.0,2.3
30,1773.0,2321.1,2984.0,2.6
31,1773.0,2452.8,3447.0,2.7
32,1773.0,2500.0,3618.0,2.7
33,1773.0,2512.0,3516.0,2.7
34,1773.0,2521.9,3777.0,2.7
35,1773.0,2319.4,2964.0,3.0
36,1773.0,2459.4,3447.0,3.0
37,1773.0,2495.5,3550.0,3.0
38,1773.0,2504.6,3550.0,3.1
39,1773.0,2503.0,3548.0,3.1
40,1773.0,2316.6,3133.0,3.4
41,1773.0,2448.6,3383.0,3.4
42,1773.0,2483.1,3482.0,3.4
43,1773.0,2499.2,3556.0,3.4
44,1773.0,2502.4,3805.0,3.5
45,1773.0,2314.0,3078.0,3.8
46,1773.0,2448.1,3531.0,3.8
47,1773.0,2488.2,3627.0,3.8
48,1773.0,2509.7,3634.0,3.8
49,1773.0,2502.4,3456.0,3.8
50,1773.0,2308.2,2963.0,4.1
51,1773.0,2451.7,3729.0,4.2
52,1773.0,2493.9,3729.0,4.2
53,1773.0,2499.0,3404.0,4.2
54,1773.0,2508.3,3476.0,4.2
55,1773.0,2314.4,3082.0,4.5
56,1773.0,2452.8,3596.0,4.5
57,1773.0,2485.1,3572.0,4.5
58,1773.0,2498.9,3601.0,4.6
59,1773.0,2500.0,3920.0,4.6
60,1773.0,2298.2,2978.0,4.9
61,1773.0,2443.9,3489.0,4.9
62,1773.0,2480.0,3636.0,4.9
63,1773.0,2487.1,3573.0,4.9
64,1773.0,2496.9,3873.0,4.9
65,1773.0,2300.3,3067.0,5.3
66,1773.0,2437.4,3521.0,5.3
67,1773.0,2473.0,3490.0,5.3
68,1773.0,2488.7,3650.0,5.3
69,1773.0,2494.2,3400.0,5.3
70,1773.0,2303.9,3150.0,5.6
71,1773.0,2435.7,3415.0,5.7
72,1773.0,2481.0,3519.0,5.7
73,1773.0,2495.5,3495.0,5.7
74,1773.0,2500.9,3499.0,5.7
75,1773.0,2306.3,3085.0,6.0
76,1773.0,2444.8,3505.0,6.0
77,1773.0,2485.4,3549.0,6.0
78,1773.0,2488.7,3549.0,6.0
79,1773.0,2501.3,3521.0,6.1
80,1773.0,2302.2,2988.0,6.4
81,1773.0,2439.2,3390.0,6.4
82,1773.0,2480.0,3991.0,6.4
83,1773.0,2490.4,3482.0,6.4
84,1773.0,2503.8,3615.0,6.4
85,1773.0,2301.0,3011.0,6.7
86,1773.0,2433.0,3416.0,6.8
