Instance,Jobs,Stages,InitialFitness,BestFitness,WorstFitness,AvgFitness,StdDev,FinalFitness,Improvement(%),RPD(%),ExecutionTime_ms,TimePerGen_ms,PopSize,Generations,ConvergenceGen,ConvergencePercent(%),FitnessDiversity,BestChromosome,PSOConfig
I1,15,2,2005.0000,1945.0000,2660.0000,2243.1760,297.8752,1945.0000,2.9925,0.0000,5573.0000,2.7865,250,2000,69,3.4500,0.3187,6-1-11-3-2-5-15-13-7-4-9-12-14-8-10,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I2,15,2,1274.0000,1213.0000,1968.0000,1554.4200,340.7162,1213.0000,4.7881,0.0000,5360.0000,2.6800,250,2000,80,4.0000,0.4857,5-13-4-11-9-14-15-7-10-8-6-1-2-3-12,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I3,15,2,65.0000,65.0000,286.0000,156.2480,91.2480,65.0000,0.0000,0.0000,10020.0000,5.0100,250,2000,0,0.0000,1.4144,5-7-2-11-8-9-3-1-14-12-15-4-6-10-13,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I4,15,2,184.0000,184.0000,598.0000,329.6120,145.6120,184.0000,0.0000,0.0000,10786.0000,5.3930,250,2000,0,0.0000,1.2560,9-12-6-7-10-5-15-11-2-1-14-8-3-4-13,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I5,15,3,2012.0000,1959.0000,2732.0000,2256.7840,297.2520,1959.0000,2.6342,0.0000,6281.0000,3.1405,250,2000,82,4.1000,0.3425,2-7-15-13-8-1-10-11-14-3-5-9-4-6-12,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I6,15,3,1761.0000,1700.0000,2412.0000,2018.6040,318.2993,1700.0000,3.4639,0.0000,11137.0000,5.5685,250,2000,60,3.0000,0.3527,8-15-11-3-12-10-14-6-2-9-13-7-5-4-1,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I7,15,3,1468.0000,1441.0000,2268.0000,1812.1240,370.1006,1441.0000,1.8392,0.0000,8607.0000,4.3035,250,2000,421,21.0500,0.4564,11-10-9-8-13-1-4-5-2-3-12-7-15-6-14,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I8,15,3,332.0000,315.0000,860.0000,487.5560,172.0684,315.0000,5.1205,0.0000,9249.0000,4.6245,250,2000,423,21.1500,1.1178,11-14-5-7-6-8-9-4-10-1-3-2-15-13-12,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I9,15,3,396.0000,347.0000,954.0000,531.2240,183.9093,347.0000,12.3737,0.0000,12311.0000,6.1555,250,2000,86,4.3000,1.1426,10-13-4-1-2-12-3-11-14-8-15-9-5-6-7,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I10,15,3,1.0000,1.0000,120.0000,36.6840,35.6840,1.0000,0.0000,0.0000,11229.0000,5.6145,250,2000,0,0.0000,3.2439,3-11-7-15-12-2-6-13-9-14-5-8-10-4-1,PSO|Pop:250|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
