Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,68.0,136.9,307.0,0.1
1,68.0,159.8,520.0,0.1
2,68.0,167.5,439.0,0.1
3,68.0,168.1,436.0,0.1
4,68.0,172.2,475.0,0.1
5,68.0,131.7,287.0,0.2
6,68.0,158.1,457.0,0.2
7,68.0,166.1,451.0,0.2
8,68.0,169.2,433.0,0.2
9,68.0,170.4,422.0,0.2
10,68.0,130.0,320.0,0.3
11,68.0,156.6,466.0,0.3
12,68.0,164.3,466.0,0.3
13,68.0,167.5,514.0,0.4
14,68.0,167.8,420.0,0.4
15,68.0,128.7,315.0,0.5
16,68.0,154.0,416.0,0.5
17,68.0,162.8,427.0,0.5
18,68.0,163.8,429.0,0.5
19,68.0,165.5,462.0,0.5
20,68.0,128.8,306.0,0.6
21,68.0,155.4,472.0,0.6
22,68.0,162.8,434.0,0.6
23,68.0,164.3,578.0,0.6
24,68.0,165.7,578.0,0.6
25,68.0,128.8,297.0,0.7
26,68.0,154.4,430.0,0.7
27,68.0,161.6,454.0,0.7
28,68.0,165.3,532.0,0.7
29,68.0,165.4,417.0,0.7
30,68.0,127.7,301.0,0.8
31,68.0,152.3,402.0,0.8
32,68.0,160.8,401.0,0.8
33,68.0,163.3,450.0,0.8
34,68.0,164.4,409.0,0.8
35,68.0,127.0,266.0,0.9
36,68.0,152.9,436.0,0.9
37,68.0,161.8,458.0,0.9
38,68.0,163.9,404.0,0.9
39,68.0,165.8,459.0,0.9
40,68.0,127.6,287.0,1.0
41,68.0,154.8,443.0,1.0
42,68.0,161.7,407.0,1.0
43,68.0,162.8,394.0,1.1
44,68.0,164.5,467.0,1.1
45,68.0,129.4,275.0,1.2
46,68.0,156.1,417.0,1.2
47,68.0,161.7,424.0,1.2
48,68.0,161.9,417.0,1.2
49,68.0,163.1,385.0,1.2
50,68.0,127.9,316.0,1.3
51,68.0,154.5,420.0,1.3
52,68.0,160.5,474.0,1.3
53,68.0,162.3,477.0,1.3
54,68.0,163.4,508.0,1.3
55,68.0,127.3,273.0,1.4
56,68.0,151.5,377.0,1.4
57,68.0,160.9,410.0,1.4
58,68.0,162.6,368.0,1.4
59,68.0,163.6,497.0,1.4
60,68.0,127.4,297.0,1.5
61,68.0,155.2,394.0,1.5
62,68.0,163.0,419.0,1.5
63,68.0,164.0,450.0,1.5
64,68.0,164.1,450.0,1.5
65,68.0,126.1,294.0,1.6
66,68.0,152.6,457.0,1.6
67,68.0,159.9,440.0,1.6
68,68.0,163.6,416.0,1.6
69,68.0,162.3,397.0,1.7
70,68.0,125.7,388.0,1.7
71,68.0,153.6,468.0,1.7
72,68.0,161.4,448.0,1.8
73,68.0,164.9,503.0,1.8
74,68.0,165.7,503.0,1.8
75,68.0,128.0,259.0,1.9
76,68.0,154.4,443.0,1.9
77,68.0,162.7,430.0,1.9
78,68.0,163.3,458.0,1.9
79,68.0,162.4,421.0,1.9
80,68.0,126.5,300.0,2.0
81,68.0,152.3,481.0,2.0
82,68.0,160.2,502.0,2.0
83,68.0,163.5,523.0,2.0
84,68.0,165.6,488.0,2.0
85,68.0,128.0,298.0,2.1
86,68.0,152.6,429.0,2.1
87,68.0,160.5,410.0,2.1
88,68.0,165.2,452.0,2.1
89,68.0,162.8,427.0,2.1
90,68.0,126.7,332.0,2.2
91,68.0,153.0,620.0,2.2
92,68.0,160.7,462.0,2.2
93,68.0,163.2,448.0,2.2
94,68.0,163.7,419.0,2.3
95,68.0,126.0,290.0,2.3
96,68.0,152.8,440.0,2.3
97,68.0,159.4,428.0,2.4
98,68.0,161.4,385.0,2.4
99,68.0,163.5,424.0,2.4
100,68.0,127.2,280.0,2.5
101,68.0,154.7,429.0,2.5
102,68.0,162.4,420.0,2.5
103,68.0,163.1,397.0,2.5
104,68.0,162.2,412.0,2.5
105,68.0,126.1,256.0,2.6
106,68.0,153.1,430.0,2.6
107,68.0,159.5,454.0,2.6
108,68.0,162.1,505.0,2.6
109,68.0,163.2,381.0,2.6
110,68.0,127.1,284.0,2.7
111,68.0,152.7,371.0,2.7
112,68.0,160.3,443.0,2.7
113,68.0,161.9,443.0,2.7
114,68.0,161.9,465.0,2.7
115,68.0,126.5,299.0,2.8
116,68.0,153.1,446.0,2.8
117,68.0,161.1,446.0,2.8
118,68.0,162.4,430.0,2.8
119,68.0,164.8,457.0,2.8
120,68.0,126.2,285.0,2.9
121,68.0,152.6,460.0,2.9
122,68.0,162.1,538.0,2.9
123,68.0,163.4,462.0,3.0
124,68.0,164.5,446.0,3.0
125,68.0,126.6,278.0,3.1
126,68.0,153.5,440.0,3.1
127,68.0,161.0,512.0,3.1
128,68.0,161.8,412.0,3.1
129,68.0,164.1,470.0,3.1
130,68.0,127.4,310.0,3.2
131,68.0,153.2,431.0,3.2
132,68.0,160.7,449.0,3.2
133,68.0,164.0,444.0,3.2
134,68.0,164.0,452.0,3.2
135,68.0,127.5,292.0,3.3
136,68.0,155.0,428.0,3.3
137,68.0,163.1,442.0,3.3
138,68.0,164.6,434.0,3.3
139,68.0,163.3,402.0,3.3
140,68.0,125.9,297.0,3.4
141,68.0,152.4,436.0,3.4
142,68.0,159.9,424.0,3.4
143,68.0,164.2,516.0,3.4
144,68.0,163.0,441.0,3.4
145,68.0,126.8,265.0,3.5
146,68.0,149.4,372.0,3.5
147,68.0,158.7,426.0,3.5
148,68.0,160.8,390.0,3.5
149,68.0,163.9,420.0,3.5
150,68.0,127.4,259.0,3.6
151,68.0,155.3,443.0,3.6
152,68.0,160.1,494.0,3.6
153,68.0,161.3,470.0,3.7
154,68.0,163.1,418.0,3.7
155,68.0,127.9,284.0,3.7
156,68.0,154.4,475.0,3.8
157,68.0,159.3,376.0,3.8
158,68.0,162.2,552.0,3.8
159,68.0,164.5,428.0,3.8
160,68.0,126.2,294.0,3.9
161,68.0,153.1,433.0,3.9
162,68.0,162.5,433.0,3.9
163,68.0,163.5,405.0,3.9
164,68.0,163.3,494.0,3.9
165,68.0,127.0,293.0,4.0
166,68.0,151.9,394.0,4.0
167,68.0,158.4,390.0,4.0
168,68.0,162.7,445.0,4.0
169,68.0,163.5,511.0,4.0
170,68.0,128.7,279.0,4.1
171,68.0,153.6,397.0,4.1
172,68.0,161.3,537.0,4.1
173,68.0,163.1,422.0,4.1
174,68.0,164.1,425.0,4.1
175,68.0,127.5,260.0,4.2
176,68.0,153.4,452.0,4.2
177,68.0,159.8,436.0,4.2
178,68.0,162.0,407.0,4.2
179,68.0,161.3,423.0,4.2
180,68.0,125.8,276.0,4.3
181,68.0,153.3,462.0,4.3
182,68.0,160.4,462.0,4.3
183,68.0,164.4,445.0,4.3
184,68.0,163.9,414.0,4.4
185,68.0,125.0,336.0,4.4
186,68.0,152.8,416.0,4.4
187,68.0,160.4,407.0,4.5
188,68.0,163.6,406.0,4.5
189,68.0,164.2,456.0,4.5
190,68.0,126.8,322.0,4.6
191,68.0,152.9,466.0,4.6
192,68.0,159.5,490.0,4.6
193,68.0,161.9,422.0,4.6
194,68.0,160.6,397.0,4.6
195,68.0,127.4,360.0,4.7
196,68.0,152.9,376.0,4.7
197,68.0,159.3,521.0,4.7
198,68.0,163.8,400.0,4.7
199,68.0,164.5,452.0,4.7
200,68.0,127.1,279.0,4.8
201,68.0,152.5,393.0,4.8
202,68.0,158.6,454.0,4.8
203,68.0,162.6,412.0,4.8
204,68.0,164.6,432.0,4.8
205,68.0,126.6,256.0,4.9
206,68.0,152.9,367.0,4.9
207,68.0,160.6,426.0,4.9
208,68.0,161.2,411.0,4.9
209,68.0,163.9,411.0,4.9
210,68.0,128.0,279.0,5.0
211,68.0,154.9,444.0,5.0
212,68.0,160.2,488.0,5.0
213,68.0,162.0,488.0,5.0
214,68.0,164.0,418.0,5.0
215,68.0,127.9,345.0,5.1
216,68.0,153.4,422.0,5.1
217,68.0,160.3,451.0,5.1
218,68.0,163.2,449.0,5.2
219,68.0,164.4,472.0,5.2
220,68.0,126.5,260.0,5.2
221,68.0,152.1,433.0,5.3
222,68.0,159.2,461.0,5.3
223,68.0,161.9,449.0,5.3
224,68.0,163.4,441.0,5.3
225,68.0,126.1,271.0,5.4
226,68.0,153.5,395.0,5.4
227,68.0,159.7,418.0,5.4
228,68.0,162.0,454.0,5.4
229,68.0,162.5,441.0,5.4
230,68.0,127.4,294.0,5.5
231,68.0,151.6,418.0,5.5
232,68.0,159.2,417.0,5.5
233,68.0,163.6,422.0,5.5
234,68.0,164.7,484.0,5.5
235,68.0,127.2,319.0,5.6
236,68.0,153.6,416.0,5.6
237,68.0,160.9,388.0,5.6
238,68.0,162.5,527.0,5.6
239,68.0,164.3,522.0,5.6
240,68.0,127.6,297.0,5.7
241,68.0,152.0,421.0,5.7
242,68.0,158.8,446.0,5.7
243,68.0,161.4,397.0,5.7
244,68.0,163.8,499.0,5.7
245,68.0,128.8,278.0,5.8
246,68.0,154.0,488.0,5.8
247,68.0,161.0,454.0,5.8
248,68.0,162.7,429.0,5.9
249,68.0,164.5,411.0,5.9
250,68.0,127.2,280.0,5.9
251,68.0,151.4,418.0,6.0
252,68.0,160.4,379.0,6.0
253,68.0,161.7,403.0,6.0
254,68.0,160.2,397.0,6.0
255,68.0,125.8,255.0,6.1
256,68.0,150.6,423.0,6.1
257,68.0,160.0,388.0,6.1
258,68.0,161.5,434.0,6.1
259,68.0,164.8,485.0,6.1
260,68.0,127.4,345.0,6.2
261,68.0,152.7,459.0,6.2
262,68.0,159.3,422.0,6.2
263,68.0,164.6,422.0,6.2
264,68.0,162.6,417.0,6.2
265,68.0,126.8,304.0,6.3
266,68.0,153.7,577.0,6.3
267,68.0,161.4,405.0,6.3
268,68.0,163.7,475.0,6.3
269,68.0,164.8,457.0,6.3
270,68.0,127.1,294.0,6.4
271,68.0,153.1,462.0,6.4
272,68.0,160.3,539.0,6.4
273,68.0,163.4,525.0,6.4
274,68.0,162.5,525.0,6.4
275,68.0,125.8,284.0,6.5
276,68.0,153.1,404.0,6.5
277,68.0,160.9,404.0,6.5
278,68.0,162.5,470.0,6.5
279,68.0,164.5,449.0,6.6
280,68.0,126.6,276.0,6.6
281,68.0,154.7,435.0,6.7
282,68.0,161.4,433.0,6.7
283,68.0,164.1,393.0,6.7
284,68.0,162.8,409.0,6.7
285,68.0,126.4,328.0,6.8
286,68.0,154.6,536.0,6.8
287,68.0,161.7,478.0,6.8
288,68.0,163.2,482.0,6.8
289,68.0,161.9,482.0,6.8
290,68.0,126.7,281.0,6.9
291,68.0,154.7,480.0,6.9
292,68.0,160.6,378.0,6.9
293,68.0,163.4,445.0,6.9
294,68.0,164.6,414.0,6.9
295,68.0,126.5,290.0,7.0
296,68.0,152.8,390.0,7.0
297,68.0,157.8,437.0,7.0
298,68.0,160.9,414.0,7.0
299,68.0,161.9,408.0,7.0
300,68.0,125.1,304.0,7.1
301,68.0,152.0,440.0,7.1
302,68.0,160.5,376.0,7.1
303,68.0,161.8,480.0,7.1
304,68.0,164.3,422.0,7.1
305,68.0,126.5,268.0,7.2
306,68.0,153.7,441.0,7.2
307,68.0,162.0,411.0,7.2
308,68.0,164.6,503.0,7.3
309,68.0,164.1,503.0,7.3
310,68.0,126.3,278.0,7.3
311,68.0,151.3,403.0,7.4
312,68.0,161.9,464.0,7.4
313,68.0,161.9,420.0,7.4
314,68.0,163.7,444.0,7.4
315,68.0,126.6,287.0,7.5
316,68.0,152.2,377.0,7.5
317,68.0,158.9,457.0,7.5
318,68.0,161.5,457.0,7.5
319,68.0,163.5,505.0,7.5
320,68.0,127.0,274.0,7.6
321,68.0,152.7,383.0,7.6
322,68.0,161.9,429.0,7.6
323,68.0,162.9,563.0,7.6
324,68.0,162.8,434.0,7.6
325,68.0,128.1,274.0,7.7
326,68.0,152.6,416.0,7.7
327,68.0,160.2,408.0,7.7
328,68.0,162.9,491.0,7.7
329,68.0,163.2,429.0,7.7
330,68.0,126.0,280.0,7.8
331,68.0,151.8,420.0,7.8
332,68.0,159.5,414.0,7.8
333,68.0,162.2,540.0,7.8
334,68.0,163.6,506.0,7.8
335,68.0,127.6,280.0,7.9
336,68.0,152.6,388.0,7.9
337,68.0,161.6,451.0,7.9
338,68.0,163.9,451.0,7.9
339,68.0,163.0,508.0,8.0
340,68.0,126.9,351.0,8.0
341,68.0,152.3,424.0,8.1
342,68.0,160.1,424.0,8.1
343,68.0,161.4,465.0,8.1
344,68.0,161.4,467.0,8.1
345,68.0,127.1,302.0,8.2
346,68.0,156.2,417.0,8.2
347,68.0,161.5,421.0,8.2
348,68.0,162.9,384.0,8.2
349,68.0,162.5,395.0,8.2
350,68.0,127.5,288.0,8.3
351,68.0,153.5,419.0,8.3
352,68.0,161.5,432.0,8.3
353,68.0,162.7,467.0,8.3
354,68.0,163.1,438.0,8.3
355,68.0,126.6,343.0,8.4
356,68.0,153.2,462.0,8.4
357,68.0,161.9,441.0,8.4
358,68.0,163.9,403.0,8.4
359,68.0,162.5,429.0,8.4
360,68.0,126.0,281.0,8.5
361,68.0,153.2,442.0,8.5
362,68.0,161.2,420.0,8.5
363,68.0,162.8,415.0,8.5
364,68.0,164.0,454.0,8.5
365,68.0,127.1,292.0,8.6
366,68.0,152.9,383.0,8.6
367,68.0,159.1,475.0,8.6
368,68.0,161.6,475.0,8.6
369,68.0,164.2,461.0,8.6
370,68.0,126.4,287.0,8.7
371,68.0,151.6,427.0,8.8
372,68.0,162.8,463.0,8.8
373,68.0,164.5,403.0,8.8
374,68.0,165.3,407.0,8.8
375,68.0,126.9,271.0,8.9
376,68.0,153.7,451.0,8.9
377,68.0,158.5,369.0,8.9
378,68.0,162.0,423.0,8.9
379,68.0,164.0,436.0,8.9
380,68.0,126.8,319.0,9.0
381,68.0,153.6,401.0,9.0
382,68.0,162.2,400.0,9.0
383,68.0,163.1,428.0,9.0
384,68.0,165.5,433.0,9.0
385,68.0,126.4,292.0,9.1
386,68.0,153.4,414.0,9.1
387,68.0,160.8,400.0,9.1
388,68.0,161.6,382.0,9.1
389,68.0,164.5,409.0,9.1
390,68.0,127.1,289.0,9.2
391,68.0,152.2,491.0,9.2
392,68.0,158.1,425.0,9.2
393,68.0,164.2,458.0,9.2
394,68.0,163.9,459.0,9.2
395,68.0,128.6,295.0,9.3
396,68.0,151.9,368.0,9.3
397,68.0,159.2,417.0,9.3
398,68.0,162.6,482.0,9.3
399,68.0,163.3,438.0,9.3
400,68.0,127.2,311.0,9.4
401,68.0,153.9,400.0,9.4
402,68.0,159.7,406.0,9.5
403,68.0,162.4,416.0,9.5
404,68.0,163.0,416.0,9.5
405,68.0,125.6,255.0,9.6
406,68.0,153.0,455.0,9.6
407,68.0,159.5,423.0,9.6
408,68.0,161.2,410.0,9.6
409,68.0,161.1,402.0,9.6
410,68.0,126.4,289.0,9.7
411,68.0,152.2,418.0,9.7
412,68.0,158.4,413.0,9.7
413,68.0,161.9,482.0,9.7
414,68.0,162.1,467.0,9.7
415,68.0,127.1,299.0,9.8
416,68.0,153.2,416.0,9.8
417,68.0,159.8,450.0,9.8
418,68.0,162.0,450.0,9.8
419,68.0,162.5,444.0,9.8
420,68.0,126.4,279.0,9.9
421,68.0,151.5,398.0,9.9
422,68.0,161.4,381.0,9.9
423,68.0,162.5,406.0,9.9
424,68.0,163.3,413.0,9.9
425,68.0,126.4,263.0,10.0
426,68.0,153.2,420.0,10.0
427,68.0,160.5,416.0,10.0
428,68.0,163.9,395.0,10.0
429,68.0,164.1,511.0,10.1
430,68.0,126.1,270.0,10.1
431,68.0,152.3,451.0,10.2
432,68.0,161.0,398.0,10.2
433,68.0,163.3,433.0,10.2
434,68.0,163.4,424.0,10.2
435,68.0,125.5,290.0,10.3
436,68.0,152.4,378.0,10.3
437,68.0,161.5,480.0,10.3
438,68.0,163.0,480.0,10.3
439,68.0,163.0,400.0,10.3
440,68.0,126.3,271.0,10.4
441,68.0,152.3,406.0,10.4
442,68.0,160.5,450.0,10.4
443,68.0,161.8,434.0,10.4
444,68.0,162.4,486.0,10.4
445,68.0,126.5,323.0,10.5
446,68.0,153.8,417.0,10.5
447,68.0,159.4,394.0,10.5
448,68.0,160.6,382.0,10.5
449,68.0,162.9,424.0,10.5
450,68.0,126.5,276.0,10.6
451,68.0,153.8,434.0,10.6
452,68.0,159.3,394.0,10.6
453,68.0,161.1,370.0,10.6
454,68.0,161.7,442.0,10.6
455,68.0,126.9,301.0,10.7
456,68.0,153.9,390.0,10.7
457,68.0,156.8,501.0,10.7
458,68.0,161.7,429.0,10.7
459,68.0,163.3,431.0,10.8
460,68.0,125.7,315.0,10.8
461,68.0,151.4,422.0,10.9
462,68.0,159.6,458.0,10.9
463,68.0,161.4,417.0,10.9
464,68.0,163.6,427.0,10.9
465,68.0,126.9,286.0,11.0
466,68.0,153.8,463.0,11.0
467,68.0,159.1,538.0,11.0
468,68.0,163.3,449.0,11.0
469,68.0,164.2,411.0,11.0
470,68.0,126.9,270.0,11.1
471,68.0,151.3,401.0,11.1
472,68.0,159.2,486.0,11.1
473,68.0,161.9,453.0,11.1
474,68.0,161.7,383.0,11.1
475,68.0,126.4,278.0,11.2
