Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,4658.0000,5578.8571,6678.0000,0.0233
1,4471.0000,5124.0143,5512.0000,0.0399
2,4428.0000,4912.8429,5171.0000,0.0743
3,4346.0000,4773.4571,5004.0000,0.1044
4,4346.0000,4648.5000,4886.0000,0.1316
5,4191.0000,4578.6286,4749.0000,0.1536
6,4166.0000,4498.4000,4671.0000,0.1746
7,4166.0000,4434.5143,4585.0000,0.1953
8,4166.0000,4386.7714,4500.0000,0.2134
9,4003.0000,4329.1000,4456.0000,0.2315
10,4003.0000,4267.1000,4405.0000,0.2503
11,3792.0000,4208.0143,4301.0000,0.2872
12,3792.0000,4197.1714,4235.0000,0.3076
13,3792.0000,4193.9429,4235.0000,0.3258
14,3792.0000,4170.3000,4235.0000,0.3439
15,3792.0000,4147.0000,4235.0000,0.3634
16,3792.0000,4117.9571,4221.0000,0.3881
17,3792.0000,4074.7286,4171.0000,0.4132
18,3792.0000,4026.0286,4052.0000,0.4404
19,3792.0000,4023.3286,4031.0000,0.4762
20,3792.0000,4022.6714,4031.0000,0.5043
21,3713.0000,4017.7857,4031.0000,0.5630
22,3713.0000,4012.8429,4031.0000,0.5927
23,3713.0000,4005.5571,4031.0000,0.6159
24,3713.0000,3990.7714,4031.0000,0.6385
25,3690.0000,3966.6429,4031.0000,0.6582
26,3690.0000,3940.4143,4010.0000,0.6772
27,3690.0000,3918.9286,3985.0000,0.7003
28,3690.0000,3899.4714,3948.0000,0.7216
29,3690.0000,3888.9429,3927.0000,0.7398
30,3690.0000,3873.9143,3927.0000,0.7591
31,3655.0000,3861.6857,3966.0000,0.7915
32,3590.0000,3828.0286,3913.0000,0.8098
33,3590.0000,3788.6857,3875.0000,0.8306
34,3590.0000,3776.0000,4015.0000,0.8487
35,3590.0000,3762.2714,3842.0000,0.8674
36,3590.0000,3749.3286,3812.0000,0.8854
37,3590.0000,3732.1714,3891.0000,0.9034
38,3574.0000,3706.5286,3812.0000,0.9212
39,3566.0000,3688.9571,3754.0000,0.9398
40,3566.0000,3673.0000,3719.0000,0.9580
41,3521.0000,3660.1286,3713.0000,0.9932
42,3521.0000,3639.4143,3700.0000,1.0152
43,3521.0000,3616.6000,3657.0000,1.0332
44,3521.0000,3602.7429,3645.0000,1.0540
45,3521.0000,3586.0714,3620.0000,1.0736
46,3510.0000,3573.1714,3601.0000,1.0939
47,3510.0000,3557.4000,3581.0000,1.1122
48,3495.0000,3542.3857,3561.0000,1.1303
49,3495.0000,3530.9571,3551.0000,1.1489
50,3494.0000,3518.5286,3530.0000,1.1677
51,3489.0000,3513.9857,3549.0000,1.2030
52,3472.0000,3508.7143,3515.0000,1.2219
53,3466.0000,3502.9000,3512.0000,1.2403
54,3466.0000,3499.2714,3517.0000,1.2581
55,3466.0000,3493.3571,3504.0000,1.2766
56,3466.0000,3485.7714,3497.0000,1.2944
57,3463.0000,3476.9571,3495.0000,1.3155
58,3442.0000,3468.8000,3472.0000,1.3334
59,3442.0000,3465.5286,3470.0000,1.3513
60,3442.0000,3464.6714,3466.0000,1.3693
61,3442.0000,3463.7714,3478.0000,1.4004
62,3442.0000,3461.9286,3463.0000,1.4184
63,3442.0000,3461.2286,3463.0000,1.4365
64,3429.0000,3458.5714,3463.0000,1.4543
65,3429.0000,3454.2143,3463.0000,1.4725
66,3429.0000,3447.1286,3465.0000,1.4939
67,3426.0000,3441.0286,3449.0000,1.5128
68,3424.0000,3438.1286,3536.0000,1.5312
69,3424.0000,3431.2857,3482.0000,1.5491
70,3424.0000,3426.8429,3429.0000,1.5679
71,3422.0000,3425.1143,3426.0000,1.5999
72,3420.0000,3423.8571,3424.0000,1.6184
73,3420.0000,3423.5429,3424.0000,1.6391
74,3418.0000,3422.5286,3424.0000,1.6583
75,3418.0000,3420.7429,3424.0000,1.6776
76,3418.0000,3419.4000,3420.0000,1.6996
77,3418.0000,3418.5714,3420.0000,1.7192
78,3418.0000,3418.0000,3418.0000,1.7375
79,3418.0000,3418.0000,3418.0000,1.7580
80,3418.0000,3418.0000,3418.0000,1.7762
81,3415.0000,3417.9143,3418.0000,1.8096
82,3415.0000,3417.8286,3418.0000,1.8285
83,3415.0000,3417.7429,3418.0000,1.8477
84,3415.0000,3417.4000,3418.0000,1.8697
85,3415.0000,3416.7143,3418.0000,1.8891
86,3415.0000,3415.2429,3418.0000,1.9083
