Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,727.0000,1173.1590,1735.0000,0.2758
1,727.0000,1040.3785,1153.0000,0.3120
2,689.0000,967.9390,1061.0000,0.6697
3,644.0000,909.7845,992.0000,1.2355
4,643.0000,862.7980,936.0000,1.5896
5,624.0000,823.0410,888.0000,1.8982
6,624.0000,791.7030,850.0000,2.2148
7,624.0000,765.3290,820.0000,2.5403
8,624.0000,742.9195,791.0000,2.8625
9,616.0000,722.3435,768.0000,3.7519
10,616.0000,706.9760,747.0000,4.9726
11,609.0000,694.1145,731.0000,5.4312
12,609.0000,682.2735,716.0000,5.7786
13,603.0000,671.6885,703.0000,6.0971
14,603.0000,662.2205,741.0000,6.3993
15,603.0000,654.1475,730.0000,6.7263
16,603.0000,647.6715,669.0000,7.0281
17,601.0000,642.3685,670.0000,7.3594
18,601.0000,637.0530,653.0000,8.0911
19,601.0000,632.6330,708.0000,9.5622
20,601.0000,628.4520,691.0000,10.3134
21,601.0000,625.1245,641.0000,10.6359
22,601.0000,622.0255,635.0000,10.9465
23,601.0000,619.0550,629.0000,11.2605
24,601.0000,616.3950,625.0000,11.5793
25,601.0000,613.7635,622.0000,11.8789
26,601.0000,611.2405,628.0000,12.1852
27,601.0000,608.9290,616.0000,12.4825
28,601.0000,606.7460,612.0000,12.8225
29,601.0000,604.8285,610.0000,13.6558
30,601.0000,603.2740,712.0000,14.7526
31,601.0000,601.8200,603.0000,15.6736
32,601.0000,601.2750,603.0000,16.1271
33,601.0000,601.0000,601.0000,16.4457
34,601.0000,601.0000,601.0000,16.8065
35,601.0000,601.0165,634.0000,17.1076
36,601.0000,601.0000,601.0000,17.6461
37,601.0000,601.0000,601.0000,18.7235
38,601.0000,601.0000,601.0000,19.7064
39,601.0000,601.0000,601.0000,20.0522
40,601.0000,601.0000,601.0000,20.3433
41,601.0000,601.0000,601.0000,20.6638
42,601.0000,601.0000,601.0000,20.9746
43,601.0000,601.0000,601.0000,21.2644
44,601.0000,601.0000,601.0000,21.5994
45,601.0000,601.0000,601.0000,21.9388
46,601.0000,601.0000,601.0000,22.7469
47,601.0000,601.0000,601.0000,23.7810
48,601.0000,601.0000,601.0000,24.6467
49,601.0000,601.0025,606.0000,25.0707
50,601.0000,601.0000,601.0000,25.3737
51,601.0000,601.0000,601.0000,25.6957
52,601.0000,601.0000,601.0000,26.0248
53,601.0000,601.0440,689.0000,26.3242
54,601.0000,601.0000,601.0000,26.6511
55,601.0000,601.0000,601.0000,26.9569
56,601.0000,601.0000,601.0000,27.2452
57,601.0000,601.0000,601.0000,27.6286
58,601.0000,601.0000,601.0000,28.9137
59,601.0000,601.0000,601.0000,29.3416
