Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,4554.0000,5259.7714,6219.0000,0.0224
1,4405.0000,4864.6429,5179.0000,0.0398
2,4333.0000,4703.0571,4926.0000,0.0588
3,4204.0000,4556.5857,4759.0000,0.0798
4,4098.0000,4432.2143,4562.0000,0.0984
5,3927.0000,4346.8286,4495.0000,0.1164
6,3856.0000,4248.7714,4405.0000,0.1351
7,3856.0000,4175.8429,4315.0000,0.1545
8,3798.0000,4105.3286,4257.0000,0.1737
9,3427.0000,4040.3429,4251.0000,0.1927
10,3427.0000,3955.0714,4152.0000,0.2111
11,3406.0000,3886.8857,4155.0000,0.2433
12,3406.0000,3828.7429,3956.0000,0.2620
13,3406.0000,3754.3857,3893.0000,0.2806
14,3314.0000,3704.2429,3821.0000,0.3009
15,3314.0000,3670.1571,3788.0000,0.3193
16,3314.0000,3630.9571,3749.0000,0.3385
17,3314.0000,3596.7143,3721.0000,0.3579
18,3314.0000,3565.0143,3748.0000,0.3773
19,3307.0000,3521.6571,3650.0000,0.3963
20,3257.0000,3470.5714,3607.0000,0.4182
21,3234.0000,3443.6714,3574.0000,0.4528
22,3234.0000,3417.2000,3512.0000,0.4712
23,3234.0000,3399.2714,3465.0000,0.4905
24,3234.0000,3382.7714,3406.0000,0.5086
25,3181.0000,3370.6143,3406.0000,0.5271
26,3181.0000,3362.9429,3406.0000,0.5455
27,3181.0000,3339.5429,3520.0000,0.5636
28,3181.0000,3303.3714,3380.0000,0.5845
29,3154.0000,3290.2857,3307.0000,0.6069
30,3154.0000,3288.9000,3307.0000,0.6299
31,3124.0000,3286.1571,3307.0000,0.6628
32,3124.0000,3281.8000,3307.0000,0.6814
33,3124.0000,3272.6857,3307.0000,0.6995
34,3073.0000,3267.3571,3307.0000,0.7177
35,3073.0000,3251.7143,3307.0000,0.7379
36,3031.0000,3228.2143,3305.0000,0.7567
37,3031.0000,3208.3286,3277.0000,0.7748
38,3031.0000,3197.3714,3271.0000,0.7927
39,3031.0000,3184.4429,3253.0000,0.8104
40,3031.0000,3155.9857,3207.0000,0.8290
41,3031.0000,3146.1714,3190.0000,0.8598
42,3031.0000,3126.7429,3181.0000,0.8778
43,3031.0000,3110.5429,3163.0000,0.8956
44,3031.0000,3092.4571,3124.0000,0.9138
45,3021.0000,3070.7143,3115.0000,0.9324
46,3021.0000,3068.3286,3070.0000,0.9508
47,3021.0000,3068.3286,3070.0000,0.9698
48,3021.0000,3067.8429,3070.0000,0.9900
49,3021.0000,3066.4429,3070.0000,1.0100
50,3016.0000,3063.0143,3070.0000,1.0294
51,3015.0000,3055.2857,3070.0000,1.0671
52,3015.0000,3044.4143,3070.0000,1.0878
53,3015.0000,3026.5429,3035.0000,1.1065
54,3015.0000,3021.4143,3027.0000,1.1249
55,3015.0000,3020.3714,3021.0000,1.1433
56,3015.0000,3019.8286,3021.0000,1.1620
57,3015.0000,3018.8429,3021.0000,1.1831
58,3015.0000,3017.0429,3021.0000,1.2012
59,3015.0000,3015.9571,3016.0000,1.2196
60,3010.0000,3015.7714,3016.0000,1.2390
61,3009.0000,3015.5571,3016.0000,1.2718
62,2974.0000,3014.4857,3016.0000,1.2908
63,2974.0000,3011.9429,3016.0000,1.3105
64,2974.0000,3007.8286,3027.0000,1.3289
65,2974.0000,2998.9429,3011.0000,1.3466
66,2968.0000,2989.5857,3010.0000,1.3645
67,2968.0000,2975.3143,2991.0000,1.3825
68,2968.0000,2971.8000,2974.0000,1.4008
69,2968.0000,2969.7000,2996.0000,1.4191
70,2968.0000,2968.0000,2968.0000,1.4371
71,2968.0000,2968.0000,2968.0000,1.4676
72,2968.0000,2968.0000,2968.0000,1.4856
73,2968.0000,2968.0000,2968.0000,1.5036
74,2968.0000,2968.0000,2968.0000,1.5241
75,2968.0000,2968.0000,2968.0000,1.5424
76,2968.0000,2968.0000,2968.0000,1.5603
77,2968.0000,2968.0000,2968.0000,1.5800
78,2968.0000,2968.0000,2968.0000,1.6024
79,2968.0000,2968.0000,2968.0000,1.6268
80,2968.0000,2968.0000,2968.0000,1.6457
81,2968.0000,2968.0000,2968.0000,1.6784
82,2968.0000,2968.0000,2968.0000,1.6975
83,2968.0000,2968.0000,2968.0000,1.7162
84,2968.0000,2968.0000,2968.0000,1.7345
