Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,9826.0000,11679.1605,13634.0000,0.2644
1,9826.0000,11116.7425,11581.0000,0.2928
2,9399.0000,10697.2325,11079.0000,0.5770
3,9399.0000,10340.1530,10662.0000,0.8454
4,9195.0000,10044.3125,10322.0000,1.2963
5,9107.0000,9790.2730,10021.0000,1.6240
6,8985.0000,9583.1510,9780.0000,1.9285
7,8984.0000,9412.9540,9572.0000,2.8511
8,8898.0000,9266.3415,9403.0000,3.6553
9,8890.0000,9148.5440,9254.0000,3.9661
10,8825.0000,9060.3435,9210.0000,4.2855
11,8797.0000,8990.1110,9059.0000,4.5591
12,8761.0000,8930.5565,9013.0000,4.8336
13,8755.0000,8882.5710,8929.0000,5.1429
14,8746.0000,8842.7465,8883.0000,5.4026
15,8708.0000,8808.6160,8864.0000,5.6749
16,8705.0000,8781.0635,8865.0000,5.9455
17,8692.0000,8758.6430,8782.0000,6.2262
18,8689.0000,8740.0790,8759.0000,6.4878
19,8676.0000,8724.5710,8740.0000,6.7703
20,8675.0000,8711.4195,8724.0000,7.0447
21,8673.0000,8701.1725,8711.0000,7.3676
22,8670.0000,8692.5560,8702.0000,8.7380
23,8668.0000,8685.4835,8694.0000,9.2616
24,8666.0000,8680.2350,8690.0000,9.5487
25,8666.0000,8676.1335,8684.0000,9.8218
26,8664.0000,8672.7685,8676.0000,10.1025
27,8664.0000,8670.1025,8674.0000,10.3690
28,8664.0000,8668.0570,8670.0000,10.6325
29,8664.0000,8666.5650,8669.0000,10.9044
30,8664.0000,8665.3580,8667.0000,11.1796
31,8664.0000,8664.5690,8668.0000,11.4575
32,8664.0000,8664.0000,8664.0000,11.7648
33,8664.0000,8664.0000,8664.0000,12.5652
34,8664.0000,8664.0000,8664.0000,13.5429
35,8664.0000,8664.0000,8664.0000,13.8655
36,8664.0000,8664.0000,8664.0000,14.1591
37,8664.0000,8664.0000,8664.0000,14.4774
38,8664.0000,8664.0000,8664.0000,14.7532
39,8664.0000,8664.0000,8664.0000,15.0141
40,8664.0000,8664.0000,8664.0000,15.3076
41,8664.0000,8664.0030,8670.0000,15.5660
42,8664.0000,8664.0000,8664.0000,15.8647
43,8664.0000,8664.0000,8664.0000,16.1860
44,8664.0000,8664.0000,8664.0000,16.4941
45,8664.0000,8664.0000,8664.0000,16.7859
46,8664.0000,8664.0000,8664.0000,17.0457
47,8664.0000,8664.0000,8664.0000,17.7981
48,8664.0000,8664.0000,8664.0000,18.5936
49,8664.0000,8664.0000,8664.0000,19.3705
50,8664.0000,8664.0000,8664.0000,19.8577
51,8664.0000,8664.0000,8664.0000,20.2138
52,8664.0000,8664.0000,8664.0000,20.4953
53,8664.0000,8664.0000,8664.0000,20.7620
54,8664.0000,8664.0000,8664.0000,21.0524
55,8664.0000,8664.0000,8664.0000,21.3366
56,8664.0000,8664.0000,8664.0000,22.0149
57,8664.0000,8664.0000,8664.0000,22.9836
58,8664.0000,8664.0000,8664.0000,23.5253
59,8664.0000,8664.0000,8664.0000,23.8129
60,8664.0000,8664.0000,8664.0000,24.0850
61,8664.0000,8664.0000,8664.0000,24.3617
62,8664.0000,8664.0000,8664.0000,24.6317
63,8664.0000,8664.0000,8664.0000,24.8968
