Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,623.0000,1087.9100,1718.0000,1.0560
1,597.0000,913.6440,1041.0000,1.1756
2,535.0000,843.4110,936.0000,2.0854
3,535.0000,796.6615,875.0000,2.4208
4,535.0000,758.6720,827.0000,2.7624
5,535.0000,725.6005,788.0000,3.0612
6,522.0000,697.9815,757.0000,3.3600
7,491.0000,676.0095,728.0000,3.6736
8,491.0000,655.9085,704.0000,3.9579
9,491.0000,639.5375,745.0000,4.2492
10,491.0000,625.7420,718.0000,5.0115
11,491.0000,613.1905,651.0000,5.9267
12,484.0000,603.1080,639.0000,6.8838
13,484.0000,593.6165,628.0000,7.2193
14,468.0000,585.4170,618.0000,7.5829
15,468.0000,577.5525,689.0000,7.8947
16,468.0000,570.4750,600.0000,8.1813
17,468.0000,564.2615,655.0000,8.8724
18,468.0000,557.9830,597.0000,10.4365
19,468.0000,553.2820,609.0000,11.2357
20,468.0000,547.9900,574.0000,11.5817
21,465.0000,543.7900,597.0000,11.8797
22,465.0000,540.4480,647.0000,12.1680
23,465.0000,536.2320,559.0000,12.4719
24,465.0000,532.7590,589.0000,12.7537
25,465.0000,529.7530,651.0000,13.0367
26,465.0000,526.9835,548.0000,13.3608
27,461.0000,524.1000,544.0000,14.5333
28,461.0000,521.5805,541.0000,15.7208
29,461.0000,519.0000,650.0000,16.2674
30,461.0000,516.5790,562.0000,16.6021
31,461.0000,514.3390,570.0000,16.9273
32,461.0000,511.9275,550.0000,17.2216
33,461.0000,509.7475,554.0000,17.5407
34,458.0000,507.5825,622.0000,17.8353
35,458.0000,505.6915,562.0000,18.1277
36,458.0000,503.7960,662.0000,18.6901
37,458.0000,501.7935,518.0000,19.9088
38,458.0000,499.5935,516.0000,20.8156
39,458.0000,497.4520,513.0000,21.1656
40,458.0000,495.6495,512.0000,21.5041
41,457.0000,494.1125,585.0000,21.8039
42,457.0000,492.4075,535.0000,22.1094
43,457.0000,490.7875,506.0000,22.4305
44,457.0000,489.2280,504.0000,22.7696
45,457.0000,487.6535,577.0000,23.1059
46,457.0000,485.8580,501.0000,23.6970
47,457.0000,484.6450,499.0000,24.8449
48,457.0000,483.0035,496.0000,25.9966
49,457.0000,481.7800,494.0000,26.8675
50,457.0000,480.3605,542.0000,27.2914
51,457.0000,479.1530,662.0000,27.7063
52,457.0000,477.5530,487.0000,28.0610
53,457.0000,476.0770,487.0000,28.4666
54,457.0000,474.5635,541.0000,29.2655
55,457.0000,472.6275,484.0000,30.2556
56,457.0000,470.1075,526.0000,30.6422
57,457.0000,466.3400,478.0000,30.9906
58,456.0000,462.0490,468.0000,31.3096
59,456.0000,460.8475,461.0000,31.6197
60,456.0000,460.7945,461.0000,31.9178
61,456.0000,460.7170,461.0000,32.2168
62,456.0000,460.5645,461.0000,32.5448
63,456.0000,460.3875,461.0000,32.8346
64,456.0000,460.0900,461.0000,33.1391
65,456.0000,459.6670,461.0000,33.7876
66,456.0000,458.9915,461.0000,34.6371
