Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,40.0000,148.6640,365.0000,0.1987
1,40.0000,93.6050,147.0000,0.2248
2,40.0000,75.9040,101.0000,0.4149
3,40.0000,66.8570,85.0000,0.5939
4,40.0000,60.8495,75.0000,0.7737
5,40.0000,56.6665,68.0000,0.9534
6,40.0000,53.8845,111.0000,1.1687
7,40.0000,51.7545,109.0000,1.3440
8,40.0000,50.0470,81.0000,1.5144
9,40.0000,48.6080,71.0000,1.6949
10,40.0000,47.4145,97.0000,1.9094
11,40.0000,46.4570,94.0000,2.3679
12,40.0000,45.5890,54.0000,2.7402
13,40.0000,44.8575,83.0000,2.9387
14,40.0000,44.1730,50.0000,3.1555
15,40.0000,43.6385,64.0000,3.3464
16,40.0000,43.1205,73.0000,3.5327
17,40.0000,42.7490,57.0000,3.7116
18,40.0000,42.2535,46.0000,3.8920
19,40.0000,41.8350,54.0000,4.0782
20,40.0000,41.4405,79.0000,4.2653
21,40.0000,41.0840,44.0000,4.4510
22,40.0000,40.8705,68.0000,4.6178
23,40.0000,40.6030,50.0000,4.8002
24,40.0000,40.4430,65.0000,4.9812
25,40.0000,40.3075,114.0000,5.1744
26,40.0000,40.1895,56.0000,5.3566
27,40.0000,40.1185,99.0000,5.5331
28,40.0000,40.0000,40.0000,5.7106
29,40.0000,40.0040,48.0000,5.8882
30,40.0000,40.0020,44.0000,6.0698
31,40.0000,40.0000,40.0000,6.2645
32,40.0000,40.0030,46.0000,6.4434
33,40.0000,40.0075,55.0000,6.6168
34,40.0000,40.0000,40.0000,6.7907
35,40.0000,40.0120,64.0000,6.9675
36,40.0000,40.0165,73.0000,7.1678
37,40.0000,40.0030,46.0000,7.4430
38,40.0000,40.0410,122.0000,7.8528
39,40.0000,40.0485,137.0000,8.1784
40,40.0000,40.0000,40.0000,8.3754
41,40.0000,40.0115,63.0000,8.5638
42,40.0000,40.0150,70.0000,8.7424
43,40.0000,40.0675,175.0000,8.9255
44,40.0000,40.0330,106.0000,9.1183
45,40.0000,40.0645,169.0000,9.2970
46,40.0000,40.0000,40.0000,9.4760
47,40.0000,40.0165,73.0000,9.6631
48,40.0000,40.0100,60.0000,9.8408
49,40.0000,40.0005,41.0000,10.0208
50,40.0000,40.0040,48.0000,10.2487
51,40.0000,69.4005,121.0000,10.7313
52,40.0000,58.1950,81.0000,10.9681
53,40.0000,52.1415,105.0000,11.1994
54,40.0000,48.1785,62.0000,11.4047
55,40.0000,45.5450,87.0000,12.0522
56,40.0000,43.7955,67.0000,12.7400
57,40.0000,42.5645,95.0000,13.1015
