Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,5090.0000,5935.6714,7316.0000,0.0237
1,5090.0000,5546.9429,5909.0000,0.0385
2,4879.0000,5351.2429,5600.0000,0.0575
3,4785.0000,5235.3000,5409.0000,0.0761
4,4785.0000,5131.6429,5331.0000,0.0940
5,4777.0000,5038.9857,5247.0000,0.1126
6,4491.0000,4937.1857,5115.0000,0.1310
7,4491.0000,4861.8857,5000.0000,0.1489
8,4314.0000,4782.3714,4925.0000,0.1705
9,4048.0000,4681.4571,4837.0000,0.1885
10,4048.0000,4611.1571,4814.0000,0.2070
11,3588.0000,4485.7571,4676.0000,0.2406
12,3588.0000,4409.8286,4588.0000,0.2594
13,3588.0000,4334.2000,4540.0000,0.2782
14,3588.0000,4212.5143,4448.0000,0.2962
15,3588.0000,4116.0857,4370.0000,0.3145
16,3588.0000,4022.5143,4225.0000,0.3337
17,3588.0000,3976.7143,4141.0000,0.3548
18,3588.0000,3903.9571,4063.0000,0.3779
19,3588.0000,3875.2286,4006.0000,0.3962
20,3588.0000,3848.7857,3980.0000,0.4148
21,3517.0000,3806.5000,3941.0000,0.4473
22,3517.0000,3760.4143,3907.0000,0.4655
23,3517.0000,3708.0857,3858.0000,0.4836
24,3517.0000,3665.7714,3798.0000,0.5025
25,3517.0000,3626.6429,3756.0000,0.5219
26,3472.0000,3582.7143,3588.0000,0.5413
27,3472.0000,3581.6286,3588.0000,0.5614
28,3472.0000,3580.3286,3590.0000,0.5792
29,3472.0000,3572.8143,3588.0000,0.5969
30,3418.0000,3555.3286,3620.0000,0.6151
31,3401.0000,3530.7000,3585.0000,0.6471
32,3401.0000,3510.6286,3541.0000,0.6659
33,3401.0000,3502.0286,3590.0000,0.6839
34,3401.0000,3472.6429,3522.0000,0.7018
35,3401.0000,3452.6714,3476.0000,0.7198
36,3401.0000,3448.3714,3472.0000,0.7375
37,3390.0000,3436.5857,3447.0000,0.7554
38,3390.0000,3432.0143,3445.0000,0.7740
39,3386.0000,3423.9000,3441.0000,0.7924
40,3386.0000,3412.4000,3432.0000,0.8106
41,3379.0000,3402.5286,3421.0000,0.8417
42,3379.0000,3391.2857,3397.0000,0.8600
43,3379.0000,3389.5857,3418.0000,0.8799
44,3369.0000,3384.5286,3393.0000,0.8978
45,3369.0000,3379.4571,3386.0000,0.9158
46,3365.0000,3376.3571,3379.0000,0.9337
47,3365.0000,3373.5429,3379.0000,0.9524
48,3365.0000,3369.9286,3376.0000,0.9724
49,3358.0000,3367.8000,3369.0000,0.9996
50,3358.0000,3365.9143,3369.0000,1.0179
51,3338.0000,3362.8571,3368.0000,1.0542
52,3338.0000,3359.0000,3385.0000,1.0726
53,3338.0000,3355.7714,3358.0000,1.0906
54,3338.0000,3353.1429,3358.0000,1.1095
55,3330.0000,3348.5571,3355.0000,1.1276
56,3313.0000,3345.8571,3350.0000,1.1456
57,3313.0000,3340.4429,3350.0000,1.1639
58,3313.0000,3334.1857,3338.0000,1.1848
59,3313.0000,3328.2286,3335.0000,1.2026
60,3313.0000,3324.7143,3330.0000,1.2208
61,3313.0000,3320.0429,3334.0000,1.2511
62,3313.0000,3314.0857,3315.0000,1.2695
63,3304.0000,3312.9000,3315.0000,1.2873
64,3304.0000,3312.8714,3313.0000,1.3055
65,3304.0000,3312.8714,3313.0000,1.3253
66,3304.0000,3312.7000,3313.0000,1.3433
67,3304.0000,3312.2571,3313.0000,1.3612
68,3304.0000,3311.6857,3313.0000,1.3791
69,3291.0000,3309.8714,3313.0000,1.3982
70,3291.0000,3305.9714,3313.0000,1.4161
71,3287.0000,3302.9571,3304.0000,1.4494
72,3287.0000,3302.1571,3304.0000,1.4671
73,3282.0000,3300.4857,3304.0000,1.4851
74,3282.0000,3297.7286,3304.0000,1.5033
75,3282.0000,3290.6286,3304.0000,1.5216
76,3282.0000,3288.2571,3291.0000,1.5397
77,3282.0000,3285.2429,3291.0000,1.5583
78,3282.0000,3282.9857,3287.0000,1.5771
79,3282.0000,3282.0000,3282.0000,1.5949
80,3282.0000,3282.0000,3282.0000,1.6130
81,3280.0000,3281.9714,3282.0000,1.6440
82,3280.0000,3281.9143,3282.0000,1.6625
83,3280.0000,3281.8571,3282.0000,1.6807
84,3280.0000,3281.6286,3282.0000,1.6991
85,3280.0000,3281.0286,3282.0000,1.7178
86,3280.0000,3280.0000,3280.0000,1.7357
87,3280.0000,3280.0000,3280.0000,1.7537
88,3277.0000,3279.9571,3280.0000,1.7740
89,3277.0000,3279.9571,3280.0000,1.7919
90,3277.0000,3279.9571,3280.0000,1.8100
91,3277.0000,3279.9571,3280.0000,1.8412
92,3277.0000,3279.9571,3280.0000,1.8595
93,3277.0000,3279.9143,3280.0000,1.8781
94,3277.0000,3279.8286,3280.0000,1.8962
95,3277.0000,3279.7857,3280.0000,1.9140
96,3277.0000,3279.2714,3280.0000,1.9320
97,3277.0000,3278.6714,3280.0000,1.9505
98,3277.0000,3277.0000,3277.0000,1.9689
99,3277.0000,3277.0000,3277.0000,1.9894
100,3277.0000,3277.0000,3277.0000,2.0104
101,3277.0000,3277.0000,3277.0000,2.0531
102,3277.0000,3277.0000,3277.0000,2.0717
103,3262.0000,3276.7857,3277.0000,2.0900
104,3258.0000,3276.5143,3277.0000,2.1083
105,3258.0000,3275.8714,3277.0000,2.1266
106,3258.0000,3274.7429,3277.0000,2.1447
107,3258.0000,3271.7286,3277.0000,2.1628
108,3258.0000,3264.8000,3277.0000,2.1808
109,3258.0000,3260.1714,3262.0000,2.1989
110,3258.0000,3258.2286,3262.0000,2.2173
111,3258.0000,3258.0000,3258.0000,2.2476
112,3258.0000,3258.0000,3258.0000,2.2654
113,3258.0000,3258.0000,3258.0000,2.2836
114,3258.0000,3258.0000,3258.0000,2.3018
115,3258.0000,3258.0000,3258.0000,2.3203
116,3258.0000,3258.0000,3258.0000,2.3385
117,3258.0000,3258.0000,3258.0000,2.3564
118,3258.0000,3258.0000,3258.0000,2.3791
119,3258.0000,3258.0000,3258.0000,2.3986
120,3258.0000,3258.0000,3258.0000,2.4167
121,3258.0000,3258.0000,3258.0000,2.4501
122,3258.0000,3258.0000,3258.0000,2.4680
123,3258.0000,3258.0000,3258.0000,2.4860
124,3258.0000,3258.0000,3258.0000,2.5043
125,3258.0000,3258.0000,3258.0000,2.5223
126,3258.0000,3258.0000,3258.0000,2.5424
127,3258.0000,3258.0000,3258.0000,2.5616
128,3258.0000,3258.0000,3258.0000,2.5807
129,3254.0000,3257.9429,3258.0000,2.6000
130,3254.0000,3257.8857,3258.0000,2.6195
131,3254.0000,3257.8286,3258.0000,2.6550
132,3254.0000,3257.4857,3258.0000,2.6744
133,3254.0000,3256.9143,3258.0000,2.6944
134,3254.0000,3255.6571,3258.0000,2.7140
135,3254.0000,3254.0000,3254.0000,2.7332
136,3254.0000,3254.0000,3254.0000,2.7526
137,3254.0000,3254.0000,3254.0000,2.7744
138,3254.0000,3254.0000,3254.0000,2.7939
139,3254.0000,3254.0000,3254.0000,2.8131
140,3254.0000,3254.0000,3254.0000,2.8322
141,3253.0000,3253.9857,3254.0000,2.8648
142,3253.0000,3253.9857,3254.0000,2.8831
143,3253.0000,3253.9143,3254.0000,2.9014
144,3253.0000,3253.7429,3254.0000,2.9199
145,3253.0000,3253.4571,3254.0000,2.9380
146,3253.0000,3253.0000,3253.0000,2.9564
147,3253.0000,3253.0000,3253.0000,2.9750
148,3253.0000,3253.0000,3253.0000,2.9964
